"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Antigua and Barbuda","ATG","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","66144443.2762914","74855554.2335588","92240739.1117105","110066664.722819","124462960.764868","137951849.415534","153270367.663518","173511108.046794","201862959.397935","245896291.953611","286474069.01476","338696290.314704","373403697.109157","391570363.454988","410388881.64116","423762955.479039","456537028.974302","500088880.057001","494185176.45756","541074064.518361","579851841.611299","620037026.086788","651851840.339733","783837838.008776","773765171.519999","802529319.160154","839996355.5355","898356132.282607","997374093.496849","1135143572.54523","1289254310.56428","1347349851.85185","1206410370.37037","1135539037.03704","1129918370.37037","1204713111.11111","1200587518.51852","",
"Australia","AUS","GDP (current US$)","NY.GDP.MKTP.CD","18574308433.1952","19651696718.5575","19886885429.4994","21500727965.0577","23758539590.0997","25930115354.463","27255011759.4355","30383021614.9625","32647552917.46","36612162616.1944","41252099899.2048","45127113898.5329","51936915887.8505","63700192184.4971","88789977892.4097","97098183804.4517","104832976175.47","110115852259.693","118238213399.504","134607520163.581","149679108635.098","176557529316.15","193684210526.316","176929340196.537","193232204310.813","180215540385.058","182032736429.771","189113287453.679","235787252619.325","299474798469.18","310944978838.015","325641629385.449","325313389217.873","312028527262.507","322874437910.758","368022720522.721","401409711684.37","435636249804.351","399325103438.92","388692192004.011","414987125541.669","378488247289.9","394250732524.069","466451368666.278","612871674491.393","693338595699.895","747205750224.618","853441155688.153","1055031652298.47","926283274398.266","1141267760188.09","1388066356092.35","1534425905762.81","1560372473125.21","",
"Austria","AUT","GDP (current US$)","NY.GDP.MKTP.CD","6592693841.18495","7311749633.36229","7756110210.11966","8374175257.73075","9169983885.71185","9994070615.85997","10887682273.1014","11579431668.9165","12440625312.8685","13582798556.2404","15335972267.7957","17815464919.0439","22006470861.3608","29444365310.2818","35104529078.3274","39962704274.3146","42856485617.8569","51421585629.8393","61902774945.5131","73759181883.685","81861232822.8037","70863106877.484","71103585383.5605","71947277233.032","67821568599.1335","69219621907.4222","98797587381.7035","123869321397.475","133018182770.534","132785154342.174","166062376739.683","173375508073.07","194608183696.469","189921096652.076","203044926876.28","240457622492.152","236720496490.772","212323463750.141","217683626056.025","216725261027.062","196421706283.398","196953628635.347","212970685111.989","260721478555.305","299870270001.8","314641160523.305","334292246560.363","386439116524.953","427627368047.362","397570327085.094","389656071767.183","429099514393.36","407575161127.056","428321897648.215","",
"Azerbaijan","AZE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8858006035.91566","8792365810.5094","4991350457.5425","3973027396.65195","3313739673.54738","3052467522.36104","3176749593.11788","3962710163.11167","4446396217.63265","4581222442.45783","5272617196.04517","5707618246.56848","6236024951.20423","7275766111.24309","8680511918.49357","13245421880.834","20982270733.2484","33050343782.7759","48852482960.0779","44291490420.5026","52902703376.1056","65951627200.2026","68730906313.6456","73560484384.9586","",
"Burundi","BDI","GDP (current US$)","NY.GDP.MKTP.CD","195999989.76","202999992.32","213500006.4","232749998.08","260750008.32","158994962.962963","165444571.428571","178297142.857143","183200000","190205714.285714","242732571.428571","252842285.714286","246804571.428571","304339839.552146","345263492.063492","420986666.666667","448412753.623188","547535555.555556","610225555.555556","782496666.666667","919726666.666667","969046666.666667","1013222222.22222","1082926304.46477","987143931.166987","1149979285.77347","1201725497.06578","1131466494.01101","1082403219.48787","1113924130.41149","1132101252.51817","1167398478.3459","1083037670.62404","938632612.059308","925030590.280334","1000428393.94934","869033856.317093","972896267.915425","893770806.077641","808077223.365746","870486065.858218","876794723.02267","825394484.361648","784654423.603171","915257323.428255","1117254387.10035","1273180655.19805","1356078300.12373","1611634286.34081","1739781535.88738","2026864414.46871","2355652063.58605","2472384864.14914","2714507030.9757","",
"Belgium","BEL","GDP (current US$)","NY.GDP.MKTP.CD","11658722590.99","12400145221.595","13264015675.3193","14260017387.0492","15960106680.6732","17371457607.9374","18651883472.4808","19992040788.4593","21376353113.475","23710735894.7022","26807913271.4804","29935244716.7174","37351139125.653","47925645622.0244","56246494096.9345","65928340353.1864","71384738035.5277","83155421722.0034","101632148072.243","116758473170.061","127312375086.219","105128908518.036","92446696803.8142","87516301459.5661","83666987224.239","86596838575.9902","120475908524.472","149963409292.274","162917260010.971","164846533579.034","206113804563.013","211312782752.51","235675876286.073","225577704407.649","245816831926.694","289122605363.985","280791270358.306","254099345963.013","259822627250.5","259666631152.781","237336281555.187","237397315436.242","258390080933.559","318573363431.151","370461343614.386","386944983335.821","410678121494.634","472284546030.008","520109349524.799","485803883922.954","484404271608.088","528237749142.039","498853259612.046","524805525215.191","",
"Benin","BEN","GDP (current US$)","NY.GDP.MKTP.CD","226195578.067006","235668220.872225","236434954.341059","253927697.573028","269819005.7911","289908680.180677","302925235.69743","306221953.364724","326323105.58513","330748244.092696","333627713.462036","335073027.92408","410331856.237969","504376074.065261","554654861.53714","676870139.263848","698408261.141673","750049780.163916","928843468.468714","1186231018.35731","1405251843.78221","1291120190.56764","1267778671.52033","1095348199.36832","1051134009.29975","1045712789.8201","1336102026.99646","1562412225.8134","1620246084.77733","1502294413.87362","1959965330.47596","1986437797.87672","1695315185.76863","2274558078.74486","1598075944.85876","2169627138.34967","2361116448.13525","2268301645.09367","2455092688.14767","2488892429.46861","2359122302.69574","2499269391.07586","2807657386.39431","3557229701.84629","4050869967.87842","4358015992.82041","4705087452.182","5511880905.94973","6633463906.71573","6584477484.57378","6561782312.61826","7289779658.41287","7543183758.87361","8307222087.28038","",
"Burkina Faso","BFA","GDP (current US$)","NY.GDP.MKTP.CD","330442817.168859","350247237.11684","379567178.256898","394040749.12567","410321785.631059","422916848.424208","433889831.584706","450753993.176448","460442864.205949","478298781.545658","458404330.125096","482411278.982439","578595583.975723","674773821.151416","751133642.647461","939972703.463021","976547572.215824","1131225278.77773","1475584037.28156","1748480982.18517","1928720390.28869","1775842679.94056","1754450379.2077","1600278756.43589","1459880352.6483","1552493413.98989","2036303381.20142","2369835438.62393","2616040645.87263","2615588545.68629","3101301780.95067","3135045684.1006","2240264711.54816","2332018010.55341","1895290964.80829","2379518099.2266","2586550747.09844","2447669403.89018","2804902723.73145","3014665728.76264","2632700362.73684","2812845513.57125","3205592289.79773","4205691222.11396","4838551099.70985","5462709498.45119","5844669845.53733","6755825096.96584","8350711425.41444","8348157993.60507","8992678844.36386","10755561750.2607","11611888158.0097","12884922231.0557","",
"Bangladesh","BGD","GDP (current US$)","NY.GDP.MKTP.CD","4274893913.46431","4817580183.56657","5081413339.74945","5319458351.12372","5386054619.31076","5906636556.95802","6439687598.27648","7253575399.26882","7483685473.4584","8471006100.89247","8992721809.32801","8751842839.73302","6288245866.66667","8067027097.60727","12459282562.5","19395903921.2304","10083163546.7397","9632469658.06452","13299358551.4369","15585961412.6833","18114645161.2903","19762945710.3026","18087000000","17155798869.2788","19670160943.9185","21613230769.2308","21160234383.6785","23781404932.2913","25638749373.0508","26825240347.4086","30128776344.9379","30957444766.9844","31708863729.6566","33166530060.9539","33768661427.1044","37939752959.0613","40666015641.7747","42318798536.6116","44091754147.5771","45694072379.3677","47124925462.1348","46987842846.553","47571130071.3913","51913661485.3195","56560744012.2303","60277560975.6098","71819088743.2996","79611888213.148","91631278239.3237","102477791472.39","115279077465.226","128637938711.386","133355744562.539","149990454541.474","",
"Bulgaria","BGR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","20039627960.2947","20056236991.8554","19804095111.9229","16959385509.1278","17411159923.2394","17562123350.1716","20261212466.5553","28429027975.8141","23002458744.8485","21746812560.0739","20726301369.863","10943548723.7608","10371900499.4574","10831999516.8061","9704877673.48824","13069094969.2947","10110256626.4722","11195830236.5819","14631307232.6115","13659823835.2119","13353530517.1247","14303810794.543","16343311506.9812","21101364344.6644","25919754936.1945","29300588272.6637","33649638299.2368","43634648380.0994","53316401914.5913","50161405416.9332","48669060511.7098","55765057234.2695","52588115104.1324","54479873099.8914","",
